槼	椝
櫝	椟
槧	椠
槶	椢
欏	椤
樿	椫
橢	椭
槮	椮
欖	榄
榲	榅
櫬	榇
櫚	榈
櫸	榉
樧	榝
檟	槚
檻	槛
檳	槟
櫧	槠
橫	横
檣	樯
桜	樱
櫫	橥
櫥	橱
櫓	橹
櫞	橼
檁	檩
歓	欢
歟	欤
慾	欲
殲	歼
歿	殁
殤	殇
殞	殒
殮	殓
殫	殚
殯	殡
毀	毁
燬	毁
譭	毁
轂	毂
畢	毕
斃	毙
氈	毡
毿	毵
毿	毶
𣯶	毶
氌	氇
気	气
氫	氢
氬	氩
氳	氲
匯	汇
彙	汇
漢	汉
湯	汤
洶	汹
瀋	沈
溝	沟
灃	沣
漚	沤
瀝	沥
淪	沦
滄	沧
渢	沨
潙	沩
滬	沪
氾	泛
汎	泛
濘	泞
註	注
淚	泪
澩	泶
滝	泷
瀘	泸
濼	泺
瀉	泻
潑	泼
沢	泽
涇	泾
潔	洁
灑	洒
窪	洼
浹	浃
漿	浆
澆	浇
湞	浈
溮	浉
濁	浊
測	测
澮	浍
済	济
瀏	浏
滻	浐
渾	浑
滸	浒
濃	浓
潯	浔
濜	浕
塗	涂
涗	涚
濤	涛
澇	涝
淶	涞
漣	涟
潿	涠
渦	涡
溳	涢
渙	涣
滌	涤
潤	润
澗	涧
漲	涨
澀	涩
澱	淀
淵	渊
淥	渌
漬	渍
瀆	渎
漸	渐
澠	渑
漁	渔
瀋	渖
滲	渗
溫	温
遊	游
溼	湿
濚	溁
潰	溃
濺	溅
漵	溆
漊	溇
潷	滗
滾	滚
灩	滟
灧	滟
灄	滠
満	满
瀅	滢
濾	滤
濫	滥
灤	滦
浜	滨
灘	滩
澦	滪
灕	漓
瀠	潆
瀟	潇
瀲	潋
濰	潍
瀦	潴
瀂	澛
瀾	澜
瀨	濑
瀕	濒
灝	灏
滅	灭
霊	灵
竈	灶
災	灾
燦	灿
煬	炀
燉	炖
煒	炜
熗	炝
煉	炼
鍊	炼
熾	炽
爍	烁
爛	烂
烴	烃
燭	烛
煙	烟
菸	烟
煩	烦
焼	烧
燁	烨
燴	烩
燙	烫
燼	烬
熱	热
煥	焕
燜	焖
燾	焘
熅	煴
薰	熏
燻	熏
愛	爱
爺	爷
牘	牍
犛	牦
牽	牵
犠	牺
犢	犊
狀	状
獷	犷
獁	犸
猶	犹
狽	狈
獮	狝
獰	狞
獅	狮
獪	狯
猙	狰
獄	狱
猻	狲
獫	猃
猟	猎
獼	猕
玀	猡
豬	猪
貓	猫
蝟	猬
獺	獭
璣	玑
璵	玙
瑒	玚
瑪	玛
瑋	玮
環	环
現	现
瑲	玱
璽	玺
琺	珐
瓏	珑
璫	珰
琿	珲
璡	琎
璉	琏
瑣	琐
瓊	琼
瑤	瑶
璦	瑷
璸	瑸
瓔	璎
瓚	瓒
甕	瓮
甌	瓯
電	电
暢	畅
疇	畴
癤	疖
療	疗
瘧	疟
癘	疠
瘍	疡
癧	疬
瘲	疭
瘡	疮
瘋	疯
皰	疱
痾	疴
癥	症
癰	痈
痙	痉
癢	痒
瘂	痖
癆	痨
瘓	痪
癇	痫
癉	瘅
瘮	瘆
瘞	瘗
瘻	瘘
癟	瘪
癱	瘫
癮	瘾
癭	瘿
癩	癞
癬	癣
癲	癫
皁	皂
皚	皑
皺	皱
皸	皲
盞	盏
塩	盐
監	监
蓋	盖
盤	盘
瞘	眍
眥	眦
矓	眬
睜	睁
睞	睐
瞼	睑
瞶	瞆
瞞	瞒
矚	瞩
榘	矩
矯	矫
磯	矶
礬	矾
礦	矿
碭	砀
碼	码
磚	砖
硨	砗
硯	砚
碸	砜
礪	砺
礱	砻
礫	砾
礎	础
硜	硁
碩	硕
硤	硖
磽	硗
磑	硙
礄	硚
確	确
磠	硵
礆	硷
礙	碍
磧	碛
磣	碜
鹼	碱
禡	祃
禕	祎
禰	祢
禎	祯
禱	祷
禍	祸
稟	禀
祿	禄
離	离
俬	私
禿	秃
稈	秆
鞦	秋
種	种
積	积
穢	秽
穠	秾
穭	稆
稅	税
穌	稣
穏	稳
穡	穑
繐	穂
穭	穞
窮	穷
竅	窍
窵	窎
窯	窑
竄	窜
窩	窝
窺	窥
竇	窦
窶	窭
豎	竖
競	竞
篤	笃
筍	笋
筆	笔
筧	笕
箋	笺
籠	笼
籩	笾
築	筑
篳	筚
篩	筛
簹	筜
箏	筝
籌	筹
篔	筼
籤	签
簽	签
篠	筿
簡	简
籙	箓
簀	箦
篋	箧
籜	箨
籮	箩
簞	箪
簫	箫
簣	篑
簍	篓
籃	篮
籛	篯
籬	篱
籪	簖
籟	籁
